id,weight23,E23,inch_norm23,hours_norm23,weight24,E24,inch_norm24,hours_norm24,weight25,E25,inch_norm25,hours_norm25,weight26,E26,inch_norm26,hours_norm26,weight27,E27,inch_norm27,hours_norm27,weight28,E28,inch_norm28,hours_norm28,weight29,E29,inch_norm29,hours_norm29,weight30,E30,inch_norm30,hours_norm30,weight31,E31,inch_norm31,hours_norm31,weight32,E32,inch_norm32,hours_norm32,weight33,E33,inch_norm33,hours_norm33,weight34,E34,inch_norm34,hours_norm34,weight35,E35,inch_norm35,hours_norm35,weight36,E36,inch_norm36,hours_norm36,weight37,E37,inch_norm37,hours_norm37,weight38,E38,inch_norm38,hours_norm38,weight39,E39,inch_norm39,hours_norm39,weight40,E40,inch_norm40,hours_norm40,weight41,E41,inch_norm41,hours_norm41,weight42,E42,inch_norm42,hours_norm42,weight43,E43,inch_norm43,hours_norm43,weight44,E44,inch_norm44,hours_norm44,weight45,E45,inch_norm45,hours_norm45,weight46,E46,inch_norm46,hours_norm46,weight47,E47,inch_norm47,hours_norm47,weight48,E48,inch_norm48,hours_norm48,weight49,E49,inch_norm49,hours_norm49,weight50,E50,inch_norm50,hours_norm50,weight51,E51,inch_norm51,hours_norm51,weight52,E52,inch_norm52,hours_norm52,weight53,E53,inch_norm53,hours_norm53,weight54,E54,inch_norm54,hours_norm54,black
9,689534,1,.4944618,.407967,700734,1,.5230663,.4464286,691916,1,.7472894,.3502747,696543,1,1.229309,.2901786,708936,1,.5856006,.4816277,710536,1,.5902142,.4584478,710230,1,.5076218,.3932005,708554,1,.9395683,.2172047,708782,1,,,740996,1,.9389505,.5357143,740996,1,,,754027,1,,.4464286,754027,1,,,770204,1,.9370417,.4910714,770204,1,,,811222,1,.847615,.4910714,811222,1,,,833444,1,.9871913,.4464286,833444,1,,,858945,1,1.098975,.4464286,858945,1,,,821974,1,.7962326,.4464286,821974,1,,,858402,1,.8003118,.4464286,858402,1,,,854137,1,1.000833,.4910714,854137,1,,,880133,1,1.030812,.4910714,880133,1,,,853306,1,1.139799,.4910714,853306,1,,,,,,,0
41,137913,1,.5013891,.4646291,138182,1,.5533221,.486092,143625,1,.6593369,.432864,141340,1,.7904954,.4730426,140815,1,.8943865,.4653159,143518,1,1.114421,.4859203,485069,1,2.100969,.4653159,485069,1,2.245883,.4721841,506760,1,1.280769,.4780219,532747,1,,,542012,1,1.209802,.5357143,542012,1,,,541577,1,,,541577,1,,,541577,1,2.072304,.4910714,541577,1,,,570849,1,1.779991,.4910714,570849,1,,,657181,1,1.310272,.4464286,657181,1,,,637768,1,1.844433,.4910714,637768,1,,,629048,1,1.447696,.4910714,629048,1,,,643960,1,1.81889,.4910714,643960,1,,,655887,1,1.908255,.4464286,655887,1,,,674475,1,1.907993,.4642857,674475,1,,,669931,1,2.366429,.4467719,669931,1,,,0
107,461097,1,.4298528,.2869162,476856,1,.4907953,.3288118,471960,1,.6974217,.3571429,483249,1,.6980175,.3571429,470165,1,.7624277,.3571429,487318,1,.7897162,.3571429,477212,1,.8207666,.3296703,478987,1,.7941867,.3571429,490236,1,.7999882,.3571429,476623,1,,,510825,1,1.024842,.3303571,510825,1,,,502352,1,1.001443,.3392857,502352,1,,,558622,1,1.004143,.3392857,558622,1,,,573720,1,1.005985,.3392857,573720,1,,,571398,1,1.039149,.3392857,571398,1,,,593120,1,.8077935,.4017857,593120,1,,,583019,1,.9355733,.3571429,583019,1,,,583760,1,.9344301,.375,583760,1,,,584439,1,.9908246,.3571429,584439,1,,,608920,1,1.328781,.3571429,608920,1,,,656962,0,,,656962,1,,,0
145,446713,1,.4988084,.206044,447584,1,.3903937,.2755838,465212,1,.5811847,.4017857,457811,1,.6204601,.4017857,456111,1,.4735116,.4017857,464864,1,.52302,.3451236,458709,0,,,455591,0,,,460175,1,.28571,.3571429,475419,1,,,485609,1,.5674233,.2386676,485609,0,,,511814,1,.4018913,.2970467,511814,1,,,539438,1,.2952657,.3296703,539438,1,,,565496,1,.4617484,.2524038,565496,1,,,599838,1,.4533388,.3004808,599838,1,,,590690,1,.3466797,.2177198,590690,0,,,573314,1,.3981163,.3571429,573314,1,,,586617,1,.3517855,.3125,586617,1,,,617687,0,,,617687,1,,,,,,,,,,,,,,,,,,,0
166,421186,1,.6650779,.3708791,422008,1,.6538071,.4010989,438628,1,.7552118,.3950893,431651,1,.7469365,.4155219,430047,1,.7685575,.4409341,438301,1,.7453858,.4086538,432497,1,.8361191,.3818681,429558,1,.783127,.4292583,433880,1,.8420928,.4241071,448252,1,,,457860,1,1.002149,.3571429,457860,1,,,482567,1,.994225,.4017857,482567,1,,,508613,1,.9911018,.4732143,508613,1,,,,,,,,,,,,,,,,,,,556936,1,1.260363,.4910714,556936,1,,,540553,1,1.413313,.3571429,540553,1,,,582391,1,,,582391,1,,,582391,1,1.070197,.4163805,582391,1,,,,,,,,,,,,,,,,,,,0
187,528255,1,.981221,.2644231,527171,1,.7803391,.5590659,525241,1,.7615526,.5683379,521824,1,.748207,.5729739,535167,1,.8262998,.5501373,539888,1,.4697258,.6262019,536290,1,.8632463,.4491758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
189,575194,1,.2723554,.0892857,573544,1,.5132418,.0892857,560172,1,.3447721,.0892857,579039,1,.5017374,.2403846,618552,1,.6370187,.3011676,586188,1,.6385006,.3159341,629090,1,.6861209,.3214286,645795,1,.7414739,.3530219,629487,1,.6435974,.3695055,645377,1,.8793768,.3399725,613368,1,1.010174,.2678571,649233,1,.8824297,.3571429,624342,1,.9428431,.3571429,624342,1,,,663788,1,1.029234,.3571429,663788,1,,,654013,1,1.114218,.3296703,654013,1,,,725167,1,1.4462,.3365385,725167,1,,,748438,1,1.512522,.4017857,748438,1,,,705085,1,1.794893,.3571429,705085,1,,,,,,,,,,,784502,1,2.587756,.3571429,784502,1,,,732233,1,2.500974,.3571429,732233,1,,,695474,1,2.385319,.3571429,695474,1,,,0
210,463425,1,.7458817,.4593063,464328,1,.586558,.3897665,482615,1,.4065687,.3828984,474938,1,.9772246,.3571429,473174,1,1.033598,.4026442,482255,1,.8441676,.4811127,475869,1,.9550739,.3399725,472635,1,.9578967,.3399725,477391,1,1.016603,.3513049,493205,1,,,503776,1,.8667236,.3571429,503776,0,,,559619,0,,,559619,0,,,559619,1,.8842183,.3502747,559619,1,,,586651,1,.7605267,.3502747,586651,1,,,622278,1,.9871913,.3571429,622278,1,,,612788,1,1.056707,.3571429,612788,1,,,594762,1,1.09482,.3571429,594762,1,,,608562,1,,,608562,1,,,640795,1,1.060142,.4017857,640795,1,,,690923,1,1.240196,.3571429,690923,1,,,702268,1,1.165889,.4000687,702268,1,,,0
212,584012,1,.8844966,.4395604,546239,1,.9616672,.4642857,610981,1,1.009201,.4903846,623457,1,1.115667,.5,599058,1,.8688092,.5164835,606379,1,.9933556,.5027472,621570,1,1.11479,.4958791,606561,1,1.135162,.4862638,595522,1,1.257512,.4093406,595522,1,1.350629,.3928571,606561,1,,,635695,1,.1560355,.5889423,635695,1,,,680105,1,1.069649,.4464286,680105,1,,,713060,1,,.4464286,713060,1,,,691958,1,1.165471,.3571429,691958,1,,,726733,1,1.458351,.3571429,726733,1,,,730587,1,,.2421017,730587,1,,,727570,1,,.3571429,727570,1,,,742466,1,1.923827,.3571429,742466,1,,,889798,1,2.446481,.1339286,889798,1,,,834179,1,.7677402,.5357143,834179,1,,,885356,1,.7888267,.4730426,0
232,603220,1,.912129,.2197802,593628,1,.652288,.1785714,609247,1,1.061383,.1837225,634345,1,,,627974,1,.4014319,.6675825,628038,1,.332382,.8228022,635620,1,.3196279,.8118132,634245,1,.3249221,.7994505,635238,1,,.71875,636806,1,,.7434753,637521,1,,,665003,1,.6635853,.3571429,665003,1,,,672486,1,.624819,.3571429,672486,1,,,740273,1,.6689937,.3571429,740273,1,,,735805,1,.8158294,.3571429,735805,1,,,755412,1,.8301381,.3571429,755412,1,,,793054,1,.9510359,.3571429,793054,1,,,743725,1,.8957617,.3571429,743725,1,,,752526,1,.8699042,.3159341,752526,1,,,754195,1,.6422012,.3571429,754195,1,,,833704,1,,,833704,1,,,833704,1,.7836121,.3571429,0
